data,total
01/08/2024 08:31,44
01/08/2024 08:57,17.6
01/08/2024 08:58,8.8
01/08/2024 09:01,24.09
01/08/2024 09:05,15.4
01/08/2024 09:13,26.29
01/08/2024 09:16,25.3
01/08/2024 09:16,28.6
01/08/2024 09:41,49.28
01/08/2024 10:01,26.4
01/08/2024 10:02,70.29
01/08/2024 10:09,28.49
01/08/2024 10:31,19.8
01/08/2024 12:13,49.5
01/08/2024 13:57,29.7
01/08/2024 15:51,19.8
01/08/2024 15:51,29.7
01/08/2024 16:16,38.5
01/08/2024 16:17,67.1
01/08/2024 16:57,38.5
01/08/2024 17:01,22
01/08/2024 17:03,40.7
01/08/2024 17:03,23.1
01/08/2024 17:04,16.5
01/08/2024 17:15,25.3
01/08/2024 17:17,33
01/08/2024 17:19,30.8
01/08/2024 17:52,18.7
01/08/2024 17:53,25.3
01/08/2024 18:05,37.4
01/08/2024 18:06,46.2
01/08/2024 18:14,61
01/08/2024 18:15,19.8
01/08/2024 18:16,86.68
01/08/2024 18:34,18.7
01/08/2024 19:04,59.4
01/08/2024 19:04,74.8
01/08/2024 19:18,42.9
01/08/2024 19:25,41.8
01/08/2024 19:25,53.9
01/08/2024 19:33,14.3
02/08/2024 07:40,48.4
02/08/2024 07:59,20.79
02/08/2024 08:21,99.88
02/08/2024 08:34,41.8
02/08/2024 09:16,36.3
02/08/2024 09:55,16.5
02/08/2024 09:55,32.89
02/08/2024 10:21,27.5
02/08/2024 10:22,20.9
02/08/2024 10:22,30.8
02/08/2024 10:25,48.4
02/08/2024 10:32,19.69
02/08/2024 10:39,8.8
02/08/2024 10:39,18.7
02/08/2024 10:40,16.5
02/08/2024 12:28,33
02/08/2024 12:29,17.6
02/08/2024 12:29,16.5
02/08/2024 12:30,14.3
02/08/2024 12:48,78.1
02/08/2024 12:49,30.8
02/08/2024 13:04,18.7
02/08/2024 15:41,51
02/08/2024 16:32,84.7
02/08/2024 16:59,47
02/08/2024 17:05,33
02/08/2024 17:25,69.3
02/08/2024 17:26,64.9
02/08/2024 18:14,28.6
02/08/2024 18:21,17.6
02/08/2024 18:34,39.6
02/08/2024 18:35,70.8
02/08/2024 18:42,55
02/08/2024 18:52,71.39
02/08/2024 19:21,79.09
02/08/2024 19:35,66
02/08/2024 19:58,24.09
02/08/2024 20:38,44
03/08/2024 07:35,16.5
03/08/2024 07:41,14.3
03/08/2024 08:07,102.08
03/08/2024 08:46,24.2
03/08/2024 08:47,13.2
03/08/2024 08:47,45.1
03/08/2024 08:49,59.4
03/08/2024 09:04,28.49
03/08/2024 09:05,28.6
03/08/2024 09:05,63.69
03/08/2024 09:05,11
03/08/2024 09:36,72.6
03/08/2024 09:37,41.8
03/08/2024 09:40,11
03/08/2024 09:52,41.8
03/08/2024 09:53,64.9
03/08/2024 09:54,46.2
03/08/2024 10:13,30.69
03/08/2024 10:31,16.5
03/08/2024 10:35,47.3
03/08/2024 10:55,6.6
03/08/2024 10:55,75.9
03/08/2024 10:56,57.2
03/08/2024 11:37,27.5
03/08/2024 11:38,35.2
03/08/2024 13:43,41
03/08/2024 14:37,61.6
03/08/2024 16:41,17.6
03/08/2024 16:41,46.2
03/08/2024 17:20,26.4
03/08/2024 17:25,52.8
03/08/2024 17:46,25.3
03/08/2024 17:52,60.5
03/08/2024 17:52,60.5
03/08/2024 17:53,19.8
03/08/2024 17:53,12.1
03/08/2024 17:56,55.99
03/08/2024 18:04,34.1
03/08/2024 18:08,75.9
03/08/2024 19:04,63.8
04/08/2024 07:19,52
04/08/2024 07:20,101
04/08/2024 08:11,91.08
04/08/2024 08:18,33
04/08/2024 08:19,30.8
04/08/2024 08:21,30.8
04/08/2024 08:38,21.9
04/08/2024 08:45,63.8
04/08/2024 08:49,59.4
04/08/2024 08:49,58.3
04/08/2024 09:00,42.9
04/08/2024 09:13,108.68
04/08/2024 09:20,59.18
04/08/2024 09:25,101.2
04/08/2024 09:29,7.7
04/08/2024 09:30,28.6
04/08/2024 09:31,36.19
04/08/2024 09:31,16.5
04/08/2024 10:42,22
04/08/2024 11:35,42.79
04/08/2024 12:01,16.5
04/08/2024 12:03,19.8
04/08/2024 12:12,42.9
04/08/2024 12:14,55
04/08/2024 12:24,38.5
04/08/2024 12:29,36.19
06/08/2024 07:28,52.8
06/08/2024 07:42,21.89
06/08/2024 07:53,15.4
06/08/2024 07:58,16.5
06/08/2024 08:34,26.4
06/08/2024 08:53,50.6
06/08/2024 09:21,37.4
06/08/2024 09:36,14.3
06/08/2024 10:44,51
06/08/2024 11:11,42.9
06/08/2024 12:46,35.2
06/08/2024 14:31,88
