Itens;Quantidade; Valor Total ;Data
Delícia de Minas P ;7;R$ 6,40;31/01/2023
Delícia de Minas P ;10;R$ 9,14;19/02/2023
Delícia de Minas P ;9;R$ 8,23;27/01/2023
Delícia de Minas P ;7;R$ 6,40;15/03/2023
Delícia de Minas P ;7;R$ 6,40;17/02/2023
Delícia de Minas P ;5;R$ 4,57;29/01/2023
Delícia de Minas P ;9;R$ 8,23;14/01/2023
Delícia de Minas P ;2;R$ 1,83;12/02/2023
Delícia de Minas P ;8;R$ 7,32;21/03/2023
Delícia de Minas P ;1;R$ 0,91;21/01/2023
Delícia de Minas P ;7;R$ 6,40;02/01/2023
Delícia de Minas P ;10;R$ 9,14;30/03/2023
Delícia de Minas P ;3;R$ 2,74;22/03/2023
Delícia de Minas P ;3;R$ 2,74;15/02/2023
Delícia de Minas P ;2;R$ 1,83;02/02/2023
Delícia de Minas P ;5;R$ 4,57;24/03/2023
Delícia de Minas P ;5;R$ 4,57;01/02/2023
Delícia de Minas P ;8;R$ 7,32;14/01/2023
Delícia de Minas P ;1;R$ 0,91;07/02/2023
Delícia de Minas P ;1;R$ 0,91;19/03/2023
Delícia de Minas P ;1;R$ 0,91;16/01/2023
Delícia de Minas P ;2;R$ 1,83;26/03/2023
Delícia de Minas P ;2;R$ 1,83;29/01/2023
Delícia de Minas P ;8;R$ 7,32;04/01/2023
Delícia de Minas P ;8;R$ 7,32;24/03/2023
Delícia de Minas P ;5;R$ 4,57;15/02/2023
Delícia de Minas P ;8;R$ 7,32;03/01/2023
Delícia de Minas P ;5;R$ 4,57;18/03/2023
Delícia de Minas P ;3;R$ 2,74;06/02/2023
Delícia de Minas P ;8;R$ 7,32;18/01/2023
Delícia de Minas P ;8;R$ 7,32;28/03/2023
Delícia de Minas P ;9;R$ 8,23;08/02/2023
Delícia de Minas P ;9;R$ 8,23;02/01/2023
Delícia de Minas P ;3;R$ 2,74;03/03/2023
Delícia de Minas P ;4;R$ 3,66;29/01/2023
Delícia de Minas P ;6;R$ 5,49;14/02/2023
Delícia de Minas P ;3;R$ 2,74;26/01/2023
Delícia de Minas P ;9;R$ 8,23;22/02/2023
Delícia de Minas P ;10;R$ 9,14;22/02/2023
Delícia de Minas P ;10;R$ 9,14;31/01/2023
Delícia de Minas P ;3;R$ 2,74;07/01/2023
Delícia de Minas P ;4;R$ 3,66;11/01/2023
Delícia de Minas P ;8;R$ 7,32;13/03/2023
Delícia de Minas P ;3;R$ 2,74;25/01/2023
