item,quantidade,valor_total,percentual,mes
Delicia de Minas P ,648,648,9.728,Agosto
Pao de queijo P,466,466,6.996,Agosto
Esfirra Carne G,338,3380,5.074,Agosto
Pao da Vovo G,279,2232,4.189,Agosto
Cafe G,206,1030,3.093,Agosto
Cafe P,196,588,2.943,Agosto
Enroladinho de Salsicha P,196,196,2.943,Agosto
Empada Frango P,191,191,2.867,Agosto
ovo ,161,483,2.417,Agosto
Coxinha P,161,161,2.417,Agosto
Laranja FRUTA,145,1450,2.177,Agosto
Empada Frango G,142,1136,2.132,Agosto
Enroladinho de Queijo G,137,1096,2.057,Agosto
Enroladinho de Salsicha G,131,1048,1.967,Agosto
Religiosa Frango Cremoso G,131,1048,1.967,Agosto
Pingado G,127,762,1.907,Agosto
Pao de Queijo G,124,620,1.862,Agosto
Coxinha G,119,952,1.787,Agosto
Coca ks ,114,798,1.711,Agosto
Joelho G,106,848,1.591,Agosto
Pao da Vovo P,99,99,1.486,Agosto
Enroladinho de Queijo P,97,97,1.456,Agosto
FOLHADO Banana c/ canela,86,172,1.291,Agosto
Chocolate quente P,74,518,1.111,Agosto
Cappuccino quente G,73,730,1.096,Agosto
Brigadeiro,70,350,1.051,Agosto
Delicia de minas,69,69,1.036,Agosto
Pao c/ manteiga,64,313.6,0.961,Agosto
Queijo e Presunto G,59,472,0.886,Agosto
queijo,59,236,0.886,Agosto
Agua c/ gas ,54,270,0.811,Agosto
Chocolate quente G,52,520,0.781,Agosto
Quiche Alho Poro,48,480,0.721,Agosto
Empada Alho Poro G,42,420,0.631,Agosto
Coca lata zero,40,280,0.601,Agosto
Coca lata ,40,280,0.601,Agosto
Religiosa Frango Cremoso P,38,38,0.57,Agosto
"Pao c/ ovo, queijo e presunto",37,440.3,0.555,Agosto
Cappuccino quente P ,36,252,0.54,Agosto
Pao de batata,35,70,0.525,Agosto
Empada de camarao,33,528,0.495,Agosto
Agua sem gas ,33,99,0.495,Agosto
Abacaxi c/ hortela FRUTA,32,320,0.48,Agosto
Rondelli Peito de Peru,31,310,0.465,Agosto
Croissant Frango c/ Catupiry ,30,360,0.45,Agosto
MORANJA,29,348,0.435,Agosto
Quiche Carne de Sol,28,392,0.42,Agosto
FOLHADO Fio de ovos c/ bacon ,28,56,0.42,Agosto
Tapioca c/ queijo e carne,25,447.5,0.375,Agosto
Tapioca c/ manteiga,25,222.5,0.375,Agosto
"Cuscuz, queijo e carne",24,429.6,0.36,Agosto
Creme Morango,24,288,0.36,Agosto
Torta 100g,24,192,0.36,Agosto
Pao Pizza G,23,184,0.345,Agosto
Cuscuz c/ manteiga,22,195.8,0.33,Agosto
Coca ks zero ,22,154,0.33,Agosto
Guarana ks ,22,154,0.33,Agosto
Limao FRUTA,21,210,0.315,Agosto
Maracuja FRUTA,21,210,0.315,Agosto
Pepsi Black,21,147,0.315,Agosto
JARRA Laranja FRUTA,20,400,0.3,Agosto
Maracuja,19,133,0.285,Agosto
Risole P,19,19,0.285,Agosto
Pao Pizza P,19,19,0.285,Agosto
