item,quantidade,valor_total,percentual,mes
Delicia de Minas P ,521,521,9.07,Julho
Pao de queijo P,438,438,7.625,Julho
Esfirra Carne G,294,2940,5.118,Julho
Pao da Vovo G,239,1912,4.161,Julho
Cafe G,224,1120,3.9,Julho
Enroladinho de Salsicha P,183,183,3.186,Julho
Laranja FRUTA,166,1660,2.89,Julho
Pingado G,160,960,2.786,Julho
Enroladinho de Queijo P,156,156,2.716,Julho
Cafe P,154,462,2.681,Julho
Empada Frango P,151,151,2.629,Julho
Pao de Queijo G,135,675,2.35,Julho
Empada Frango G,128,1024,2.228,Julho
Joelho G,123,984,2.141,Julho
Coxinha G,122,976,2.124,Julho
Coca ks ,121,847,2.107,Julho
ovo ,115,345,2.002,Julho
Enroladinho de Queijo G,101,808,1.758,Julho
Coxinha P,97,97,1.689,Julho
Religiosa Frango Cremoso G,96,768,1.671,Julho
Enroladinho de Salsicha G,94,752,1.636,Julho
Pao da Vovo P,87,87,1.515,Julho
Pao c/ manteiga,73,357.7,1.271,Julho
queijo,67,268,1.166,Julho
Queijo e Presunto G,65,520,1.132,Julho
Cappuccino quente G,59,590,1.027,Julho
Torta 100g,51,408,0.888,Julho
Chocolate quente P,51,357,0.888,Julho
Delicia de minas,51,51,0.888,Julho
Agua c/ gas ,48,240,0.836,Julho
"Pao c/ ovo, queijo e presunto",41,487.9,0.714,Julho
Chocolate quente G,39,390,0.679,Julho
Brigadeiro,36,180,0.627,Julho
Agua sem gas ,35,105,0.609,Julho
Esfirra Carne P,35,70,0.609,Julho
Coca lata ,34,238,0.592,Julho
Cappuccino quente P ,33,231,0.575,Julho
Tapioca c/ manteiga,30,267,0.522,Julho
Pao c/ queijo e presunto,28,277.2,0.487,Julho
FOLHADO Banana c/ canela,28,56,0.487,Julho
Maracuja,27,189,0.47,Julho
Torta 125g,26,260,0.453,Julho
Coca ks zero ,24,168,0.418,Julho
Bacon,23,115,0.4,Julho
Tapioca c/ queijo e frango,22,371.8,0.383,Julho
banana e canela ,22,220,0.383,Julho
Banana e Canela P,22,44,0.383,Julho
Tapioca c/ queijo e carne,21,375.9,0.366,Julho
Morango FRUTA,20,200,0.348,Julho
Paulista G,20,160,0.348,Julho
Pao de batata,20,40,0.348,Julho
"Cuscuz, queijo e carne",19,340.1,0.331,Julho
Cuscuz c/ manteiga,19,169.1,0.331,Julho
Religiosa Frango Cremoso P,19,19,0.331,Julho
Bolo de chocolate,18,450,0.313,Julho
JARRA Laranja FRUTA,18,360,0.313,Julho
Morango,18,126,0.313,Julho
Pao Pizza G,17,136,0.296,Julho
Torta 150g,16,192,0.279,Julho
Coca lata zero,16,112,0.279,Julho
Queijo e Presunto P,16,16,0.279,Julho
"Cuscuz, queijo e frango",15,253.5,0.261,Julho
Copo da felicidade de morango,15,225,0.261,Julho
Creme Morango,15,180,0.261,Julho
Torta 75g,15,90,0.261,Julho
Abacaxi c/ hortela FRUTA,14,140,0.244,Julho
Pave,13,221,0.226,Julho
Empada de camarao,13,208,0.226,Julho
Enroladinho Goiano,13,130,0.226,Julho
Risole P,13,13,0.226,Julho
Cento de salgado ,12,960,0.209,Julho
Empada Alho Poro G,12,120,0.209,Julho
Maracuja FRUTA,11,110,0.192,Julho
carne,11,66,0.192,Julho
Bolo cenoura c/ chocolate pote,10,100,0.174,Julho
Fanta Laranja,10,70,0.174,Julho
FOLHADO Fio de ovos c/ bacon ,10,20,0.174,Julho
Torta 200g ,9,144,0.157,Julho
pote mineirinho ,9,90,0.157,Julho
Empada Pernil G,9,90,0.157,Julho
Guarana lata,9,63,0.157,Julho
Tapioca gelada,9,63,0.157,Julho
Schewepps,9,63,0.157,Julho
Joelho P,9,9,0.157,Julho
PAO DE BATATA BAROA ,8,96,0.139,Julho
Suco ONLY UVA,8,80,0.139,Julho
Limao FRUTA,8,80,0.139,Julho
Coca 600ml,8,72,0.139,Julho
Caju,8,56,0.139,Julho
FOLHADO Frango ,8,16,0.139,Julho
Paulista P,8,8,0.139,Julho
minerinho ,8,8,0.139,Julho
Torta de creme belga 1kg,7,560,0.122,Julho
Torta 175g,7,98,0.122,Julho
Tapioca c/ queijo e presunto,7,90.3,0.122,Julho
MORANJA,7,84,0.122,Julho
Cappuccino gelado G,7,70,0.122,Julho
Pepsi Black,7,49,0.122,Julho
frango ,7,35,0.122,Julho
Nescau P,7,28,0.122,Julho
tomate,7,14,0.122,Julho
cebola ,7,14,0.122,Julho
"Torta 12,5g",7,7,0.122,Julho
Cento doces ,6,720,0.104,Julho
Bolo no Pote ,6,90,0.104,Julho
Mousse Maracuja e Chocolate,6,84,0.104,Julho
Creme Cupuacu ,6,72,0.104,Julho
Queijo e Coco,6,60,0.104,Julho
bolo de milho p ,6,60,0.104,Julho
Brigadeiro Copo,6,42,0.104,Julho
broa ,6,12,0.104,Julho
Pao Pizza P,6,6,0.104,Julho
oregano ,6,6,0.104,Julho
Creme Maracuja ,5,60,0.087,Julho
Casadinho de Goiaba,5,60,0.087,Julho
Mousse Maracuja G,5,60,0.087,Julho
Guarana Zero,5,35,0.087,Julho
Mousse de Maracuja,5,35,0.087,Julho
Pastel P ,5,7.5,0.087,Julho
Bolo de mandioca,4,100,0.07,Julho
Bolo de mesclado,4,80,0.07,Julho
bolo de mandioca p ,4,40,0.07,Julho
Abacaxi c/ hortela,4,28,0.07,Julho
Mousse de limao,4,28,0.07,Julho
Morango,4,16,0.07,Julho
Pingado P,4,16,0.07,Julho
Ganache ,4,16,0.07,Julho
Bolinha de queijo p,4,4,0.07,Julho
Copo da felicidade de uva,3,45,0.052,Julho
"Cuscuz, queijo e presunto",3,38.7,0.052,Julho
LARANJU,3,36,0.052,Julho
Biscoito Trancado ,3,30,0.052,Julho
Nhoque gaucho pote ,3,30,0.052,Julho
Coca Zero 600 ml ,3,27,0.052,Julho
H2OH!,3,21,0.052,Julho
Cappuccino gelado P,3,21,0.052,Julho
Delicia de Minas G,3,15,0.052,Julho
Fatia bolo caseiro,3,15,0.052,Julho
Calabresa,3,12,0.052,Julho
presunto ,3,12,0.052,Julho
Cento de salgado especial,2,240,0.035,Julho
Bolo de laranja,2,50,0.035,Julho
Empadao de pernil,2,40,0.035,Julho
JARRA Abacaxi c/ hortela FRUTA ,2,40,0.035,Julho
Bolo Cenoura c/ Chocolate P,2,30,0.035,Julho
JARRA Maracuja,2,30,0.035,Julho
Copo da Felicidade de morango p,2,24,0.035,Julho
Biscoito de Queijo,2,20,0.035,Julho
"Bolo laranja, fuba e canela P",2,20,0.035,Julho
Guarana 600 ml,2,18,0.035,Julho
Nescau G,2,12,0.035,Julho
Torta 50g,2,8,0.035,Julho
Leite quente P,2,4,0.035,Julho
Bolo cenoura com chocolate G,1,35,0.017,Julho
Bolo de milho,1,25,0.017,Julho
JARRA Morango FRUTA ,1,20,0.017,Julho
JARRA Limao FRUTA ,1,20,0.017,Julho
JARRA Morango,1,15,0.017,Julho
Pao de mel,1,12,0.017,Julho
Mousse de limao G,1,12,0.017,Julho
Bolo de banana P,1,10,0.017,Julho
Abacaxi FRUTA,1,10,0.017,Julho
Milho c/ Mostarda e mel,1,9,0.017,Julho
Kibe G,1,8,0.017,Julho
Bolo Banana Pedaco,1,7,0.017,Julho
Bolo de chocolate P,1,7,0.017,Julho
Cuscuz Infantil,1,5.9,0.017,Julho
Casadinho,1,5,0.017,Julho
requeijao ,1,4,0.017,Julho
shot de limao,1,3.5,0.017,Julho
Torta 25g,1,2,0.017,Julho
