item,quantidade,valor_total,percentual,mes
Delicia de Minas P ,404,404,7.871,Junho
Pao de queijo P,339,339,6.604,Junho
Esfirra Carne G,237,2370,4.617,Junho
Enroladinho de Salsicha P,236,236,4.598,Junho
Pao da Vovo G,208,1664,4.052,Junho
Cafe G,190,950,3.702,Junho
ovo ,149,447,2.903,Junho
Pingado G,144,864,2.805,Junho
Empada Frango G,136,1088,2.65,Junho
Cafe P,130,390,2.533,Junho
Coxinha G,118,944,2.299,Junho
Laranja FRUTA,104,1034,2.026,Junho
Pao de Queijo G,100,500,1.948,Junho
Empada Frango P,97,97,1.89,Junho
Enroladinho de Queijo P,93,93,1.812,Junho
Joelho G,88,704,1.714,Junho
Coxinha P,83,83,1.617,Junho
Enroladinho de Salsicha G,82,656,1.598,Junho
queijo,80,320,1.559,Junho
Enroladinho de Queijo G,78,624,1.52,Junho
"Pao c/ ovo, queijo e presunto",76,910.4,1.481,Junho
Coca ks ,76,532,1.481,Junho
Religiosa Frango Cremoso G,71,568,1.383,Junho
Pao c/ manteiga,69,342.1,1.344,Junho
Pao de batata,54,108,1.052,Junho
Cappuccino quente G,53,529.9,1.033,Junho
Religiosa Frango Cremoso P,52,52,1.013,Junho
Queijo e Presunto G,51,408,0.994,Junho
Tapioca c/ manteiga,48,428.2,0.935,Junho
Chocolate quente G,44,439.6,0.857,Junho
Maracuja,42,294,0.818,Junho
Pao Pizza P,42,42,0.818,Junho
Agua c/ gas ,40,200,0.779,Junho
Torta 100g,33,264,0.643,Junho
Pao da Vovo P,33,33,0.643,Junho
Cappuccino quente P ,32,224,0.623,Junho
Chocolate quente P,31,217,0.604,Junho
Empada Alho Poro G,30,300,0.584,Junho
Cuscuz c/ manteiga,28,252.2,0.545,Junho
Coca lata ,28,196,0.545,Junho
Bacon,28,140,0.545,Junho
Tapioca c/ queijo e frango,27,456.3,0.526,Junho
Empada Pernil G,27,270,0.526,Junho
Brigadeiro,25,125,0.487,Junho
FOLHADO Banana c/ canela,25,50,0.487,Junho
Tapioca c/ queijo e carne,24,439.6,0.468,Junho
Abacaxi c/ hortela FRUTA,24,240,0.468,Junho
Maracuja FRUTA,22,220,0.429,Junho
Morango FRUTA,22,220,0.429,Junho
Pao Pizza G,22,176,0.429,Junho
Agua sem gas ,22,67,0.429,Junho
broa ,22,37,0.429,Junho
Coca ks zero ,21,147,0.409,Junho
JARRA Laranja FRUTA,20,400,0.39,Junho
"Cuscuz, queijo e carne",20,358,0.39,Junho
Bolinha de queijo p,19,19,0.37,Junho
carne,18,108,0.351,Junho
Banana e Canela P,18,33,0.351,Junho
Risole P,18,18,0.351,Junho
Guarana lata,17,119,0.331,Junho
Morango,17,119,0.331,Junho
Pao de queijo,17,37,0.331,Junho
Delicia de Queijo,17,17,0.331,Junho
Pao c/ queijo e presunto,14,147.6,0.273,Junho
Mousse Maracuja e Chocolate,13,182,0.253,Junho
Delicia de minas,13,13,0.253,Junho
bolo de milho p ,12,120,0.234,Junho
banana e canela ,12,116,0.234,Junho
Delicia de Minas G,12,60,0.234,Junho
tomate,12,24,0.234,Junho
Empada de camarao,11,176,0.214,Junho
