item,quantidade,valor_total,percentual,mes
Agua com Gas - 500ml,5,25,15.625,Maio
Pastel de carne,5,10,15.625,Maio
Cento - Folhado,2,200,6.25,Maio
Cento de salgado ,2,160,6.25,Maio
MEIO CENTO ESPECIAL,2,120,6.25,Maio
Salgado G,2,16,6.25,Maio
Cafe P,2,8,6.25,Maio
CENTO - SALGADOS PEQUENOS,1,80,3.125,Maio
Bolo de mandioca,1,25,3.125,Maio
Bolo de laranja,1,20,3.125,Maio
Abacaxi c/ Hortela - Jarra,1,15,3.125,Maio
Chocolate quente G,1,10,3.125,Maio
Esfirra Temperada,1,10,3.125,Maio
Coca-Cola - KS,1,7,3.125,Maio
Delicia de Minas G,1,5,3.125,Maio
Agua - 500ml,1,3,3.125,Maio
Delicia de Minas P,1,1,3.125,Maio
Rissole de queijo e oregano,1,1,3.125,Maio
Bolinha de queijo ,1,1,3.125,Maio
