item,quantidade,valor_total,percentual,mes
Delicia de Minas P ,439,439,8.591,Setembro
Pao de queijo P,336,336,6.575,Setembro
Pao da Vovo G,239,1912,4.677,Setembro
Esfirra Carne G,222,2220,4.344,Setembro
Cafe P,198,594,3.875,Setembro
Cafe G,184,920,3.601,Setembro
Laranja FRUTA,172,1720,3.366,Setembro
Religiosa Frango Cremoso G,168,1344,3.288,Setembro
Coxinha G,122,976,2.387,Setembro
FOLHADO Banana c/ canela,117,234,2.29,Setembro
Enroladinho de Queijo G,116,928,2.27,Setembro
ovo ,112,336,2.192,Setembro
Empada Frango P,111,111,2.172,Setembro
Empada Frango G,110,880,2.153,Setembro
Pao de Queijo G,106,530,2.074,Setembro
Enroladinho de Salsicha P,106,106,2.074,Setembro
Enroladinho de Salsicha G,97,776,1.898,Setembro
Pingado G,92,552,1.8,Setembro
Joelho G,86,688,1.683,Setembro
Coca ks zero ,73,511,1.429,Setembro
Coca ks ,70,490,1.37,Setembro
Delicia de minas,56,56,1.096,Setembro
Quiche alho poro com bacon,55,825,1.076,Setembro
Tartalete,47,611,0.92,Setembro
Abacaxi c/ hortela FRUTA,47,470,0.92,Setembro
Agua c/ gas ,47,235,0.92,Setembro
Pao c/ manteiga,44,215.6,0.861,Setembro
queijo,44,176,0.861,Setembro
MORANJA,40,480,0.783,Setembro
FOLHADO Goiabada ,39,78,0.763,Setembro
Pao da Vovo P,38,38,0.744,Setembro
Croissant Frango c/ Catupiry ,35,420,0.685,Setembro
"Pao c/ ovo, queijo e presunto",35,416.5,0.685,Setembro
Morango FRUTA,35,350,0.685,Setembro
Brigadeiro,35,175,0.685,Setembro
Croissant Chocolate,34,612,0.665,Setembro
Queijo e Presunto G,34,272,0.665,Setembro
Tapioca c/ queijo e carne,31,554.9,0.607,Setembro
Cappuccino quente G,31,310,0.607,Setembro
Coca lata ,31,217,0.607,Setembro
Pepsi Black,30,210,0.587,Setembro
Limao FRUTA,29,290,0.568,Setembro
Agua sem gas ,29,87,0.568,Setembro
Cappuccino quente P ,28,196,0.548,Setembro
Quiche Alho Poro,27,270,0.528,Setembro
Empada de camarao,25,400,0.489,Setembro
Calzone portugues,25,350,0.489,Setembro
Chocolate quente G,25,250,0.489,Setembro
JARRA Laranja FRUTA,23,460,0.45,Setembro
"Cuscuz, queijo e carne",23,411.7,0.45,Setembro
Religiosa Frango Cremoso P,22,22,0.431,Setembro
Croissant Creme,21,378,0.411,Setembro
Torta 125g,21,210,0.411,Setembro
Torta 150g,20,240,0.391,Setembro
Empada Pernil G,20,240,0.391,Setembro
Rondelli Peito de Peru,20,200,0.391,Setembro
Creme Morango,19,228,0.372,Setembro
Maracuja FRUTA,19,190,0.372,Setembro
Guarana Zero,19,133,0.372,Setembro
Enroladinho de Queijo P,19,19,0.372,Setembro
Croissant Peito de Peru,18,220,0.352,Setembro
Pao Pizza G,18,144,0.352,Setembro
Guarana ks ,18,126,0.352,Setembro
Tapioca c/ queijo e frango,17,287.3,0.333,Setembro
Chocolate quente P,17,119,0.333,Setembro
Coca lata zero,17,119,0.333,Setembro
Empada Alho Poro G,16,160,0.313,Setembro
Torta 100g,16,128,0.313,Setembro
Tapioca c/ manteiga,15,133.5,0.294,Setembro
Maracuja,15,105,0.294,Setembro
Bacon,15,75,0.294,Setembro
Copo da felicidade de morango,14,210,0.274,Setembro
Creme Maracuja ,14,168,0.274,Setembro
Enroladinho Goiano,13,136,0.254,Setembro
Coca 600ml,13,117,0.254,Setembro
Cuscuz c/ manteiga,13,115.7,0.254,Setembro
Pao c/ queijo e presunto,12,118.8,0.235,Setembro
frango ,12,60,0.235,Setembro
Torta 200g ,11,176,0.215,Setembro
Tapioca c/ queijo e presunto,11,141.9,0.215,Setembro
Torta de salsao ,11,137,0.215,Setembro
Mousse Maracuja G,11,132,0.215,Setembro
Guarana lata,10,70,0.196,Setembro
Cha gelado ,10,65,0.196,Setembro
Pastel P ,10,20,0.196,Setembro
Coxinha P,10,10,0.196,Setembro
"Torta 12,5g",10,10,0.196,Setembro
Bolo no Pote ,9,135,0.176,Setembro
Cappuccino gelado G,9,90,0.176,Setembro
Caju,8,56,0.157,Setembro
Mousse Maracuja e Chocolate,7,98,0.137,Setembro
Creme Cupuacu ,7,84,0.137,Setembro
Torta 75g,7,42,0.137,Setembro
Nescau P,7,28,0.137,Setembro
shot de limao,7,24.5,0.137,Setembro
cebola ,7,14,0.137,Setembro
Mousse de limao G,6,72,0.117,Setembro
Morango,6,42,0.117,Setembro
Schewepps,6,42,0.117,Setembro
H2OH!,5,35,0.098,Setembro
Abacaxi c/ hortela,5,35,0.098,Setembro
Torta 50g,5,20,0.098,Setembro
tomate,5,10,0.098,Setembro
Bolo de banana,4,120,0.078,Setembro
Bolo de mesclado,4,100,0.078,Setembro
JARRA Maracuja FRUTA ,4,80,0.078,Setembro
Del Valle,4,34,0.078,Setembro
Brigadeiro Copo,4,28,0.078,Setembro
Nescau G,4,24,0.078,Setembro
Delicia de Minas G,4,20,0.078,Setembro
Pingado P,4,16,0.078,Setembro
catupiry,4,12,0.078,Setembro
Cento de salgado ,3,240,0.059,Setembro
Bolo de chocolate,3,75,0.059,Setembro
"Bolo laranja, fuba e canela G",3,75,0.059,Setembro
JARRA Abacaxi c/ hortela FRUTA ,3,60,0.059,Setembro
Copo da felicidade de uva,3,45,0.059,Setembro
Torta 175g,3,42,0.059,Setembro
Mousse Limao e Ganache,3,42,0.059,Setembro
Abacaxi FRUTA,3,30,0.059,Setembro
Guarana 600 ml,3,27,0.059,Setembro
Guarana Zero 600 ml,3,27,0.059,Setembro
Fanta Laranja,3,21,0.059,Setembro
carne,3,18,0.059,Setembro
Beijinho,3,15,0.059,Setembro
Calabresa,3,12,0.059,Setembro
presunto ,3,12,0.059,Setembro
Bolo de mandioca,2,50,0.039,Setembro
Fuba mix G,2,50,0.039,Setembro
Bolo de milho,2,50,0.039,Setembro
Bolo de laranja,2,50,0.039,Setembro
bolo fit,2,50,0.039,Setembro
JARRA Morango FRUTA ,2,40,0.039,Setembro
"Cuscuz, queijo e frango",2,33.8,0.039,Setembro
semi-folhado queijo e presunto,2,20,0.039,Setembro
bolo de milho p ,2,20,0.039,Setembro
Pao de mel,2,20,0.039,Setembro
Agua Tonica,2,20,0.039,Setembro
Coca Zero 600 ml ,2,18,0.039,Setembro
Caju,2,15,0.039,Setembro
Cappuccino gelado P,2,14,0.039,Setembro
Biscoito de queijo,2,3,0.039,Setembro
oregano ,2,2,0.039,Setembro
minerinho ,2,2,0.039,Setembro
Cento de salgado especial,1,120,0.02,Setembro
Torta de creme belga 1kg,1,80,0.02,Setembro
Torta de chocolate 1kg,1,80,0.02,Setembro
Mil Folhas Doce,1,13,0.02,Setembro
Cestinha Morango,1,13,0.02,Setembro
"Cuscuz, queijo e presunto",1,12.9,0.02,Setembro
LARANJU,1,12,0.02,Setembro
bolo de mandioca p ,1,10,0.02,Setembro
Goiaba FRUTA,1,10,0.02,Setembro
Palmier M,1,10,0.02,Setembro
pote mineirinho ,1,10,0.02,Setembro
bolo de laranja ,1,10,0.02,Setembro
Limoneto,1,8,0.02,Setembro
Mousse de Maracuja,1,7,0.02,Setembro
Peps Twist,1,7,0.02,Setembro
Bolo de chocolate P,1,7,0.02,Setembro
bolo mesclado p,1,7,0.02,Setembro
Cuscuz Infantil,1,5.9,0.02,Setembro
Ganache ,1,5,0.02,Setembro
Fatia bolo caseiro,1,5,0.02,Setembro
requeijao ,1,4,0.02,Setembro
shot ,1,3,0.02,Setembro
Torta 25g,1,2,0.02,Setembro
Esfirra Carne P,1,2,0.02,Setembro
